brand,model,price,screen-size,screen-resolution-x,screen-resolution-y,is-fhd,is-ultra-hd,is-touchable,weight,cpu-brand,cpu-cores,cpu-frequency,cpu-class,memory,memory-type,memory-speed,gpu,has-discrete-graphic-card,gpu-class,storage-size,storage-type,storage-speed,configurable,battery-life,os,warranty,colors,detachable
Lenovo,Lenovo Ideapad Y700-15 80NV00BHSB,1499,15.6,1920,1080,Y,N,N,2.6,Intel,4,2.3,4,4,DDR4,2133,NVIDIA GeForce GTX 960M,Y,2,1024,HDD,5400,Up to 6th Generation IntelÅ’ Quad-Core i7 Processor;Up to NVIDIAÅ’ GTX 960M 4 GB GDDR5;Up to 16 GB DDR4;Up to 1 TB HDD; Up to 512 GB SSD; Up to 1 TB + 8 GB SSHD;,5,Windows 10 Home 64,1,Black,N
Lenovo,Lenovo S41-35 80JW0014SB,619,14,1366,768,N,N,N,1.68,AMD,4,1.8,1,4,DDR3L,1600,AMD Radeon R5 M330 2GB,Y,0,500,HDD,5400,Up to AMD A8-7410 Processor;Up to 8GB DDR3L;Up to 1TB HDD or up to 1TB SSHD,6,Windows 10 Home 64,1,Silver,N
Lenovo,Lenovo YOGA 700-14ISK 80QD00CBSB,1616.98,14,1920,1080,Y,N,Y,1.6,Intel,2,2.5,4,8,DDR3L,1600,NVIDIA GeForce GT 940M,Y,1,256,SSD,,Nil,7,Windows 10 Home 64,1,Black,N
Lenovo,Lenovo YOGA 900-13 80MK00EHSB ,1999,13.3,3200,1800,Y,N,Y,1.3,intel,2,2.3,2,8,LPDDR3,1600,Intel HD Graphics 520,N,1,256,SSD,,Up to 6th Generation IntelÅ’ CoreÅ_ i7 Processor;Up to 16 GB LP-DDR3L;Up to 512 GB Samsung SSD,10,Windows 10 Home 64,1,"Silver, Clementine Orange, Champagne Gold",N
Apple,Apple MacBook 256G,1788,12,2304,1440,Y,N,N,0.92,Intel,2,1.1,1,8,LPDDR3,1600,Intel HD Graphics 5300,N,0,256,SSD,,,9,OS X,0,"Silver, Gold, Space grey",N
Apple,Apple MacBook 512G,2288,12,2304,1440,Y,N,N,0.92,Intel,2,1.2,1,8,LPDDR3,1600,Intel HD Graphics 5300,N,0,512,SSD,,,9,OS X,0,"Silver, Gold, Space grey",N
Microsoft,Microsoft Surface Book - 128GB / Intel Core i5,1499,13.5,3000,2000,Y,N,Y,1.51,Intel,2,2.4,3,8,,,Intel HD Graphics 520,N,1,128,SSD,,,12,Windows 10 Pro,1,Silver,Y
Microsoft,Microsoft Surface Book - 256GB / Intel Core i5,1699,13.5,3000,2000,Y,N,Y,1.51,Intel,2,2.4,3,8,,,Intel HD Graphics 520,N,1,256,SSD,,,12,Windows 10 Pro,1,Silver,Y
Microsoft,Microsoft Surface Book - 256GB / Intel Core i5 / dGPU,1899,13.5,3000,2000,Y,N,Y,1.51,Intel,2,2.4,3,8,,,Intel HD Graphics 520,Y,1,256,SSD,,,12,Windows 10 Pro,1,Silver,Y
Microsoft,Microsoft Surface Book - 1TB / Intel Core i7,3199,13.5,3000,2000,Y,N,Y,1.51,Intel,2,2.6,4,16,,,Intel HD Graphics 520,Y,1,1024,SSD,,,12,Windows 10 Pro,1,Silver,Y
Microsoft,Microsoft Surface Book - 256GB / Intel Core i7,2099,13.5,3000,2000,Y,N,Y,1.51,Intel,2,2.6,4,8,,,Intel HD Graphics 520,Y,1,256,SSD,,,12,Windows 10 Pro,1,Silver,Y
Microsoft,Microsoft Surface Book - 512GB / Intel Core i7,2699,13.5,3000,2000,Y,N,Y,1.51,Intel,2,2.6,4,16,,,Intel HD Graphics 520,Y,1,512,SSD,,,12,Windows 10 Pro,1,Silver,Y
Microsoft,Microsoft Surface Pro 4 - 128GB / Intel Core m3,899,12.3,2736,1824,Y,N,Y,0.77,Intel,2,2.4,3,4,,,Intel HD Graphics 520,N,1,128,SSD,,,9,Windows 10 Pro,1,Silver,Y
Microsoft,Microsoft Surface Pro 4 - i5 / 8G RAM / 256G SSD,1199,12.3,2736,1824,Y,N,Y,0.77,Intel,2,2.4,3,8,,,Intel HD Graphics 520,N,1,256,SSD,,,9,Windows 10 Pro,1,Silver,Y
Microsoft,Microsoft Surface Pro 4 - i7 / 16G RAM / 256G SSD,1799,12.3,2736,1824,Y,N,Y,0.77,Intel,2,2.2,4,16,,,Intel Iris Graphics 540,N,2,256,SSD,,,9,Windows 10 Pro,1,Silver,Y
Microsoft,Microsoft Surface Pro 4 - i7 / 8G RAM / 256G SSD,1599,12.3,2736,1824,Y,N,Y,0.77,Intel,2,2.2,4,8,,,Intel Iris Graphics 540,N,2,256,SSD,,,9,Windows 10 Pro,1,Silver,Y
Microsoft,Microsoft Surface Pro 4 - i3 / 4G RAM / 128G SSD,899,12.3,2736,1824,Y,N,Y,0.79,Intel,2,0.9,2,4,,,Intel HD Graphics 515,N,0,128,SSD,,,9,Windows 10 Pro,1,Silver,Y
MSI,MSI CX61 2PC,999,15.6,1366,768,N,N,N,2.4,Intel,2,2.5,3,4,DDR3,,NVIDIA GeForce GT 820M,Y,0,750,HDD,,,3,Windows 8.1 64,0,,N
